CMU,P,B,T,D,K,G,M,N,NG,F,V,TH,DH,S,Z,SH,ZH,HH,CH,JH,R,Y,W,L,IY,IH,EY,EH,AE,AH,UW,UH,OW,AO,AA,AY,OY,AW
V,0.3725873260921351,0.6694696576396532,0.3217711286727086,0.6197073589252166,0.2975133255251384,0.5950266510502767,0.3725873260921351,0.3217711286727086,0.2986810708281392,0.6879875195007802,1.0000000000000002,0.572656949044554,0.8851573305149791,0.5500006713879483,0.8625010528583734,0.5281256446850184,0.8406260261554436,0.522958623638216,0.4156255073556654,0.7281258888260904,0.024469666533656897,0.0007448405756312698,0.0,0.025000030517634008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TH,0.6318614679706814,0.33451489480800783,0.6415645577267352,0.343162437853835,0.5967020540642902,0.2987235002244449,0.0371683216453342,0.044760317980935,0.0029840211987290006,0.8851573305149791,0.572656949044554,1.0000000000000002,0.6870109546165886,0.8857589984350549,0.5727699530516432,0.8638497652582162,0.5508607198748046,0.8355480441156025,0.7511737089201882,0.43818466353677626,0.045952369321014576,0.0029840211987290006,0.0007449463845996134,0.04694835680751175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DH,0.33451489480800783,0.6318614679706814,0.343162437853835,0.6415645577267352,0.2987235002244449,0.5967020540642902,0.33451489480800783,0.343162437853835,0.30138614107162903,0.572656949044554,0.8851573305149791,0.6870109546165886,1.0000000000000002,0.5727699530516432,0.8857589984350549,0.5508607198748046,0.8638497652582162,0.523776385863512,0.43818466353677626,0.7511737089201882,0.045952369321014576,0.0029840211987290006,0.0007449463845996134,0.04694835680751175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,0.6006400777886006,0.303293504625927,0.7504813314803436,0.4520792116074436,0.598936893218089,0.3009583393782438,0.005946931463253473,0.15367709173454353,0.023872169589832,0.8625010528583734,0.5500006713879483,0.8857589984350549,0.5727699530516432,1.0000000000000002,0.6870109546165886,0.8857589984350549,0.5727699530516432,0.8371069024068629,0.7730829420970269,0.4600938967136151,0.15776980133548335,0.023872169589832,0.0029797855383984534,0.161189358372457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z,0.303293504625927,0.6006400777886006,0.4520792116074436,0.7504813314803436,0.3009583393782438,0.598936893218089,0.303293504625927,0.4520792116074436,0.322274289462732,0.5500006713879483,0.8625010528583734,0.5727699530516432,0.8857589984350549,0.6870109546165886,1.0000000000000002,0.5727699530516432,0.8857589984350549,0.5253352441547725,0.4600938967136151,0.7730829420970269,0.15776980133548335,0.023872169589832,0.0029797855383984534,0.161189358372457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH,0.5961798791911606,0.29883330602848696,0.6415645577267352,0.343162437853835,0.6197953919868783,0.32181683814703294,0.0014867328658133682,0.04476031798093501,0.044760317980935,0.8406260261554436,0.5281256446850184,0.8638497652582162,0.5508607198748046,0.8857589984350549,0.5727699530516432,1.0000000000000002,0.6870109546165886,0.8417834772806443,0.8873239436619722,0.5743348982785604,0.045952369321014576,0.044760317980935,0.023838284307187624,0.04694835680751175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZH,0.29883330602848696,0.5961798791911606,0.343162437853835,0.6415645577267352,0.32181683814703294,0.6197953919868783,0.29883330602848696,0.343162437853835,0.343162437853835,0.5281256446850184,0.8406260261554436,0.5508607198748046,0.8638497652582162,0.5727699530516432,0.8857589984350549,0.6870109546165886,1.0000000000000002,0.5300118190285539,0.5743348982785604,0.8873239436619722,0.045952369321014576,0.044760317980935,0.023838284307187624,0.04694835680751175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HH,0.5923800564773158,0.2961900282386579,0.5959691460371026,0.2987276766919143,0.6693280870409113,0.37250853624671565,0.0,0.001486207346725942,0.037155183668148545,0.8342435186609636,0.522958623638216,0.8355480441156025,0.523776385863512,0.8371069024068629,0.5253352441547725,0.8417834772806443,0.5300118190285539,1.0,0.7295456803098918,0.4177740220578013,0.0015257878398773838,0.037155183668148545,0.07568898545251991,0.0015588582912604524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,0.5961798791911606,0.29883330602848696,0.6415645577267352,0.343162437853835,0.6197953919868783,0.32181683814703294,0.0014867328658133682,0.04476031798093501,0.044760317980935,0.7281258888260904,0.4156255073556654,0.7511737089201882,0.43818466353677626,0.7730829420970269,0.4600938967136151,0.8873239436619722,0.5743348982785604,0.7295456803098918,1.0000000000000002,0.6870109546165887,0.045952369321014576,0.044760317980935,0.023838284307187624,0.04694835680751175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JH,0.29883330602848696,0.5961798791911606,0.343162437853835,0.6415645577267352,0.32181683814703294,0.6197953919868783,0.29883330602848696,0.343162437853835,0.343162437853835,0.4156255073556654,0.7281258888260904,0.43818466353677626,0.7511737089201882,0.4600938967136151,0.7730829420970269,0.5743348982785604,0.8873239436619722,0.4177740220578013,0.6870109546165887,1.0000000000000002,0.045952369321014576,0.044760317980935,0.023838284307187624,0.04694835680751175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
